"","Reported.Year","Property.ID..","Commercial.Property..Property.Street.Address","Building.Name","Total.SqFt","Category","Year.Built","kWh.sqft","Percentile.Rank","Received.Date","Site.EUI..kBTU.sqft.","Portfolio.Manager.SqFt","Total.Green.House.Gas.Emissions..MtCO2e.","Portfolio.Manager.Organization","GeoLocation","Submitted.Name.of.Organization","GeoLocation_clean","lat","long"
"1209",NA,"527977, 527978, 527976","12357 RIATA TRACE PKWY, AUSTIN TX, 78727","Riata Corporate Park 6",287101,"OFFICE LG > 35000","2000",NA,NA,"05/25/2017 12:00:00 AM",74.9,97790,NA,NA,"12357 RIATA TRACE PKWY
AUSTIN, TX 78727
(30.427989, -97.743197)","BRI 1868 Riata, LLC","30.427989, -97.743197",30.427989,-97.743197
"1210",2017,"249999","8626 BURNET RD, AUSTIN TX, 78757","8626 BURNET RD, AUSTIN TX, 78757",34040,"RETAIL CENTER","1988",28.916,NA,"",NA,NA,NA,NA,"8626 BURNET RD
AUSTIN, TX 78757
(30.368975, -97.72749)","Goodwin Management","30.368975, -97.72749",30.368975,-97.72749
"1211",2017,"246684","837 W RUNDBERG LA, AUSTIN TX, 78753","837 W RUNDBERG LA, AUSTIN TX, 78753",11000,"CITY OF AUSTIN",".",18.822,56.9,"",NA,NA,NA,NA,"837 W RUNDBERG LA
AUSTIN, TX 78753
(30.363664, -97.698294)","Austin Energy","30.363664, -97.698294",30.363664,-97.698294
"1212",2017,"230759","8120 EXCHANGE DR, AUSTIN TX, 78754","8120 EXCHANGE DR, AUSTIN TX, 78754",16280,"WAREHOUSE","1987",13.043,60.95,"",NA,NA,NA,NA,"8120 EXCHANGE DR
AUSTIN, TX 78754
(30.330053, -97.671117)","Cothron's Safe & Lock","30.330053, -97.671117",30.330053,-97.671117
"1213",2017,"364309","6900 ESCARPMENT BLVD, AUSTIN TX, 78749","SJR - Escarpment, Ltd.",12330,"EDUCATIONAL FACILITY","1993",NA,NA,"04/24/2017 12:00:00 AM",NA,13033,NA,NA,"6900 ESCARPMENT BLVD
AUSTIN, TX 78749
(30.229596, -97.865427)","Country Home Learning Center #8, Ltd.","30.229596, -97.865427",30.229596,-97.865427
"1214",2017,"242306","7756 NORTHCROSS DR, AUSTIN TX, 78757","7756 NORTHCROSS DR, AUSTIN TX, 78757",38222,"OFFICE LG > 35000","1985",9.532,32.38,"",NA,NA,NA,NA,"7756 NORTHCROSS DR
AUSTIN, TX 78757
(30.356486, -97.736695)","JQUAD Ltd","30.356486, -97.736695",30.356486,-97.736695
"1215",2017,"232855","8220 CROSS PARK DR, AUSTIN TX, 78754","8220 CROSS PARK DR, AUSTIN TX, 78754",50250,"INDUSTRIAL (W/sqft > 3)","2001",14.215,72.29,"",NA,NA,NA,NA,"8220 CROSS PARK DR
AUSTIN, TX 78754
(30.333939, -97.668299)","Trinity National Corporation","30.333939, -97.668299",30.333939,-97.668299
"1216",2017,"253987","9230 NEILS THOMPSON DR, AUSTIN TX, 78758","9230 NEILS THOMPSON DR, AUSTIN TX, 78758",56000,"INDUSTRIAL","1977",2.934,25.83,"",NA,NA,NA,NA,"9230 NEILS THOMPSON DR
AUSTIN, TX 78758
(30.380941, -97.733671)","CBRE, Inc.","30.380941, -97.733671",30.380941,-97.733671
"1217",2017,"228171","5930 MIDDLE FISKVILLE RD, AUSTIN TX, 78752","ACC highland business center",108340,"OFFICE LG > 35000","1981",NA,NA,"05/31/2017 12:00:00 AM",NA,111780,NA,NA,"5930 MIDDLE FISKVILLE RD
AUSTIN, TX 78752
(30.322251, -97.71099)","Austin Community College District","30.322251, -97.71099",30.322251,-97.71099
"1218",2017,"249930","8711 BURNET RD, AUSTIN TX, 78757","8711 BURNET RD, AUSTIN TX, 78757",95093,"WAREHOUSE","1982",0.289,3.49,"",NA,NA,NA,NA,"8711 BURNET RD
AUSTIN, TX 78757
(30.369758, -97.727293)","Turtle Rock Holdings Ltd","30.369758, -97.727293",30.369758,-97.727293
"1219",2017,"242387","8209 BURNET RD, AUSTIN TX, 78757","8209 BURNET RD, AUSTIN TX, 78757",48440,"RETAIL CENTER","1973",6.797,25.96,"",NA,NA,NA,NA,"8209 BURNET RD
AUSTIN, TX 78757
(30.361458, -97.729441)","WC Teakwood Plaza LLC","30.361458, -97.729441",30.361458,-97.729441
"1220",2017,"361581","800 W 38th St Austin TX 78705","800 W 38th St Austin TX 78705",138304,"STORE\GROCERY (W/sqft > 5)","1993",49.917,NA,"",NA,NA,NA,NA,"800 W 38th St
Austin, TX 78705
(30.304481, -97.741498)","Mimco, Inc.","30.304481, -97.741498",30.304481,-97.741498
"1221",2017,"193616","3601 Govalle Avenue, Austin, TX 78702","Govalle",75468,"EDUCATIONAL FACILITY","1940",NA,NA,"04/10/2017 12:00:00 AM",32.4,82246,NA,NA,"3601 Govalle Avenue
Austin, TX 78702
(30.264654, -97.698329)","LPB Energy","30.264654, -97.698329",30.264654,-97.698329
"1222",2017,"509200","2025 W BEN WHITE BLVD, AUSTIN TX, 78745","Randall's 2485 - W Ben White Blvd",38522,"STORE\GROCERY (W/sqft > 5)","1978",NA,NA,"05/23/2017 12:00:00 AM",286.2,38522,NA,NA,"2025 W BEN WHITE BLVD
AUSTIN, TX 78745
(30.230214, -97.789729)","Safeway","30.230214, -97.789729",30.230214,-97.789729
"1223",2017,"311227","901 W BEN WHITE BLVD, AUSTIN TX, 78704","901 W BEN WHITE BLVD, AUSTIN TX, 78704",305530,"MEDICAL FACILITY","1981",61.203,88.68,"",NA,NA,NA,NA,"901 W BEN WHITE BLVD
AUSTIN, TX 78704
(30.227308, -97.773944)","St. David's South Austin Medical Center","30.227308, -97.773944",30.227308,-97.773944
"1224",2017,"843796","3201 CASEYBRIDGE CT AUSTIN TX 78741","3201 CASEYBRIDGE CT AUSTIN TX 78741",79966,"MOTEL\HOTEL","2016",8.133,NA,"",NA,NA,NA,NA,"3201 CASEYBRIDGE CT
AUSTIN, TX 78741
(30.214243, -97.699357)","Residence Inn Austin Airport","30.214243, -97.699357",30.214243,-97.699357
"1225",2017,"251474","8800 SHOAL CREEK BLVD, AUSTIN TX, 78757","8800 SHOAL CREEK BLVD, AUSTIN TX, 78757",18200,"WAREHOUSE","1978",7.885,59.37,"",NA,NA,NA,NA,"8800 SHOAL CREEK BLVD
AUSTIN, TX 78757
(30.37476, -97.735904)","Live Oak","30.37476, -97.735904",30.37476,-97.735904
"1226",NA,"842729","222 WEST AVE AUSTIN TX 78701","Seaholm - High Rise",67302,"OFFICE MED 10-35","2014",NA,NA,"05/15/2017 12:00:00 AM",NA,14323,NA,NA,"222 WEST AVE
AUSTIN, TX 78701
(30.267266, -97.751746)","Blue Ocean Energy","30.267266, -97.751746",30.267266,-97.751746
"1227",NA,"287383","520 WOODWARD ST, AUSTIN TX, 78704","CB1 - Clubhouse 1",575885,"DORMITORY\RETIREMENT FACILITY","1968",NA,NA,"05/05/2017 12:00:00 AM",NA,4080,NA,NA,"520 WOODWARD ST
AUSTIN, TX 78704
(30.22651, -97.753644)","St. Edward's University","30.22651, -97.753644",30.22651,-97.753644
"1228",2017,"255888","3101 INDUSTRIAL TER, AUSTIN TX, 78758","3101 INDUSTRIAL TER, AUSTIN TX, 78758",37700,"INDUSTRIAL","1991",2.599,15.83,"",NA,NA,NA,NA,"3101 INDUSTRIAL TER
AUSTIN, TX 78758
(30.380552, -97.730763)","CBRE, Inc.","30.380552, -97.730763",30.380552,-97.730763
"1229",2017,"291808","4007 COMMERCIAL CENTER DR, AUSTIN TX, 78744","4007 COMMERCIAL CENTER DR, AUSTIN TX, 78744",33180,"INDUSTRIAL (W/sqft > 3)","1995",14.16,58.33,"",NA,NA,NA,NA,"4007 COMMERCIAL CENTER DR
AUSTIN, TX 78744
(30.211879, -97.740554)","Live Oak Gottesman","30.211879, -97.740554",30.211879,-97.740554
"1230",2017,"532132, 511848","6800 WEST GATE BLVD, AUSTIN TX, 78745","6800 WEST GATE BLVD, AUSTIN TX, 78745",125391,"RETAIL CENTER","1981",16.392,86.89,"",NA,NA,NA,NA,"6800 WEST GATE BLVD
AUSTIN, TX 78745
(30.208537, -97.814602)","Levy Cannon West LLC","30.208537, -97.814602",30.208537,-97.814602
"1231",2017,"212576","800 W 34 ST, AUSTIN TX, 78705","800 W 34 ST, AUSTIN TX, 78705",40933,"MEDICAL FACILITY","1983",13.167,NA,"",NA,NA,NA,NA,"800 W 34 ST
AUSTIN, TX 78705
(30.301881, -97.743018)","West 34th Street Neighborhood Improvement Company","30.301881, -97.743018",30.301881,-97.743018
"1232",2017,"783031","3701 W SLAUGHTER LN AUSTIN TX 78749","3701 W SLAUGHTER LN AUSTIN TX 78749",70520,"CONGREGATION FACILITY","2012",14.594,NA,"",NA,NA,NA,NA,"3701 W SLAUGHTER LN
AUSTIN, TX 78749
(30.185087, -97.853124)","BETHANY LUTHERAN CHURCH OF AUSTIN","30.185087, -97.853124",30.185087,-97.853124
"1233",2017,"225500","959 REINLI ST, AUSTIN TX, 78751","959 REINLI ST, AUSTIN TX, 78751",28394,"MOTEL\HOTEL","1994",13.013,55.63,"",NA,NA,NA,NA,"959 REINLI ST
AUSTIN, TX 78751
(30.318954, -97.708203)","Marriott Courtyard Hotel","30.318954, -97.708203",30.318954,-97.708203
"1234",2017,"294846","5701 S PLEASANT VALLEY RD, AUSTIN TX, 78744","Mendez Jr. High",187110,"EDUCATIONAL FACILITY","1987",NA,NA,"05/24/2017 12:00:00 AM",47.5,187110,NA,NA,"5701 S PLEASANT VALLEY RD
AUSTIN, TX 78744
(30.189702, -97.745055)","LPB Energy","30.189702, -97.745055",30.189702,-97.745055
"1235",2017,"446039","4400 FRANKLIN PARK DR, AUSTIN TX, 78744","4400 FRANKLIN PARK DR, AUSTIN TX, 78744",95195,"EDUCATIONAL FACILITY","1999",7.378,11.26,"",NA,NA,NA,NA,"4400 FRANKLIN PARK DR
AUSTIN, TX 78744
(30.199287, -97.744858)","AISD","30.199287, -97.744858",30.199287,-97.744858
"1236",2017,"204237","2815 MANOR RD, AUSTIN TX, 78722","2815 MANOR RD, AUSTIN TX, 78722",22600,"INDUSTRIAL","1959",3.22,68.75,"",NA,NA,NA,NA,"2815 MANOR RD
AUSTIN, TX 78722
(30.285521, -97.711276)","Fairway Properties","30.285521, -97.711276",30.285521,-97.711276
"1237",2017,"251483","9315 MCNEIL RD, AUSTIN TX, 78758","9315 MCNEIL RD, AUSTIN TX, 78758",126300,"AUTOMOTIVE SERVICE","2000",23.816,90.12,"",NA,NA,NA,NA,"9315 MCNEIL RD
AUSTIN, TX 78758
(30.375651, -97.725479)","Capital Metro","30.375651, -97.725479",30.375651,-97.725479
"1238",2017,"201402","5600 Decker Lane, Austin, TX 78724","5600 Decker Lane, Austin, TX 78724",80825,"EDUCATIONAL FACILITY",".",9.868,10.6,"",NA,NA,NA,NA,"5600 Decker Lane
Austin, TX 78724
(30.280463, -97.634915)","Manor ISd","30.280463, -97.634915",30.280463,-97.634915
"1239",2017,"130360","5926 BALCONES DR Austin TX 78731","5926 Balcones",15740,"OFFICE MED 10-35","1983",NA,NA,"04/22/2017 12:00:00 AM",39.1,15740,NA,NA,"5926 BALCONES DR
Austin, TX 78731
(30.342269, -97.753965)","Blue Ocean Energy","30.342269, -97.753965",30.342269,-97.753965
"1240",2017,"195950","3700 WEBBERVILLE RD, AUSTIN TX, 78702","3700 WEBBERVILLE RD, AUSTIN TX, 78702",168653,"","",9.665,NA,"",NA,NA,NA,NA,"3700 WEBBERVILLE RD
AUSTIN, TX 78702
(30.270548, -97.705982)","The Housing Authority of the City of Austin","30.270548, -97.705982",30.270548,-97.705982
"1241",2017,"240382","7950 ANDERSON SQ, AUSTIN TX, 78757","7950 ANDERSON SQ, AUSTIN TX, 78757",35639,"RETAIL CENTER","1981",13.447,28.53,"",NA,NA,NA,NA,"7950 ANDERSON SQ
AUSTIN, TX 78757
(30.350943, -97.716188)","Arvco Realty","30.350943, -97.716188",30.350943,-97.716188
"1242",2017,"363827","4121 SOUTH INDUSTRIAL DR, AUSTIN TX, 78744","4121 SOUTH INDUSTRIAL DR, AUSTIN TX, 78744",80000,"INDUSTRIAL","1994",5.058,49.17,"",NA,NA,NA,NA,"4121 SOUTH INDUSTRIAL DR
AUSTIN, TX 78744
(30.211107, -97.742965)","CBRE, Inc.","30.211107, -97.742965",30.211107,-97.742965
"1243",2017,"242250","3415 GREYSTONE DR, AUSTIN TX, 78731","3415 Greystone",29120,"OFFICE MED 10-35","1978",NA,NA,"05/01/2017 12:00:00 AM",43,21764,NA,NA,"3415 GREYSTONE DR
AUSTIN, TX 78731
(30.357197, -97.747517)","Blue Ocean Energy","30.357197, -97.747517",30.357197,-97.747517
"1244",2017,"800324","5915 LA CROSSE AVE AUSTIN TX 78739","5915 LA CROSSE AVE AUSTIN TX 78739",14560,"","",0,NA,"",NA,NA,NA,NA,"5915 LA CROSSE AVE
AUSTIN, TX 78739
(30.192429, -97.882963)","Nobel Learning Communities","30.192429, -97.882963",30.192429,-97.882963
"1245",2017,"236459","622 MORROW ST, AUSTIN TX, 78757","622 MORROW ST, AUSTIN TX, 78757",21654,"INDUSTRIAL","1977",8.694,49.38,"",NA,NA,NA,NA,"622 MORROW ST
AUSTIN, TX 78757
(30.343151, -97.712853)","Consolidated Electrical Distributors","30.343151, -97.712853",30.343151,-97.712853
"1246",2017,"292476","4111 TODD LA, AUSTIN TX, 78744","4111 TODD LA, AUSTIN TX, 78744",40544,"INDUSTRIAL","1983",3.565,20.83,"",NA,NA,NA,NA,"4111 TODD LA
AUSTIN, TX 78744
(30.210351, -97.738161)","CSA Management, Inc","30.210351, -97.738161",30.210351,-97.738161
"1247",2017,"196770","411 W 13th ST, Austin TX 78701","EOB",60202,"OFFICE LG > 35000","3",NA,NA,"05/11/2017 12:00:00 AM",50.9,60547,NA,NA,"411 W 13th ST
Austin, TX 78701
(30.276215, -97.744443)","Travis County Facilities Management","30.276215, -97.744443",30.276215,-97.744443
"1248",2017,"551943","5010 BURLESON RD, AUSTIN TX, 78744","5010 BURLESON RD, AUSTIN TX, 78744",57820,"INDUSTRIAL","1983",2.732,11.46,"",NA,NA,NA,NA,"5010 BURLESON RD
AUSTIN, TX 78744
(30.210984, -97.727936)","AppMgt Co","30.210984, -97.727936",30.210984,-97.727936
"1249",2017,"291805","4120 TODD LA, AUSTIN TX, 78744","4120 TODD LA, AUSTIN TX, 78744",12000,"WAREHOUSE","2005",1.344,11.43,"",NA,NA,NA,NA,"4120 TODD LA
AUSTIN, TX 78744
(30.209672, -97.738598)","Larry Templeton","30.209672, -97.738598",30.209672,-97.738598
"1250",2017,"540855","2901 S CAPITAL OF TEXAS HWY, Austin, TX 78746","2901 S CAPITAL OF TEXAS HWY, Austin, TX 78746",144818,"RETAIL CENTER","2002",21.92,NA,"",NA,NA,NA,NA,"2901 S CAPITAL OF TEXAS HWY
Austin, TX 78746
(30.255443, -97.810066)","Nordstrom, Inc","30.255443, -97.810066",30.255443,-97.810066
"1251",2017,"248503","8300 N MOPAC EXPY, AUSTIN TX, 78759","The Park",116564,"OFFICE LG > 35000 (W/sqft > 5)","1999",NA,NA,"05/26/2017 12:00:00 AM",88.6,93317,NA,NA,"8300 N MOPAC EXPY
AUSTIN, TX 78759
(30.370394, -97.742243)","Transwestern","30.370394, -97.742243",30.370394,-97.742243
"1252",2017,"308743","6101 PATTON RANCH RD, AUSTIN TX, 78735","Oak Hill",85895,"EDUCATIONAL FACILITY","1974",NA,NA,"04/10/2017 12:00:00 AM",59.8,85895,NA,NA,"6101 PATTON RANCH RD
AUSTIN, TX 78735
(30.237655, -97.859542)","LPB Energy","30.237655, -97.859542",30.237655,-97.859542
"1253",2017,"699583","4220 W WILLIAM CANNON DR, AUSTIN TX, 78749","4220 W WILLIAM CANNON DR, AUSTIN TX, 78749",10082,"RETAIL CENTER","2005",45.332,16.71,"",NA,NA,NA,NA,"4220 W WILLIAM CANNON DR
AUSTIN, TX 78749
(30.222006, -97.838274)","Laborde","30.222006, -97.838274",30.222006,-97.838274
"1254",2017,"837012","611 CENTER RIDGE DR AUSTIN TX 78753","611 CENTER RIDGE DR AUSTIN TX 78753",244734,"INDUSTRIAL (W/sqft > 3)","2014",34.326,NA,"",NA,NA,NA,NA,"611 CENTER RIDGE DR
AUSTIN, TX 78753
(30.414908, -97.666994)","HID Global Corporation","30.414908, -97.666994",30.414908,-97.666994
"1255",2017,"310847","300 WOODWARD ST, AUSTIN TX, 78704","GYM - Alumni Gym",619612,"EDUCATIONAL FACILITY",".",NA,NA,"05/31/2017 12:00:00 AM",NA,14018,NA,NA,"300 WOODWARD ST
AUSTIN, TX 78704
(30.227797, -97.756258)","St. Edward's University","30.227797, -97.756258",30.227797,-97.756258
"1256",2017,"702802, 702803","2200 PARK BEND DR Austin TX 78758","2200 PARK BEND DR Austin TX 78758",19875,"OFFICE LG > 35000 (W/sqft > 5)","2004",91.601,86.27,"",NA,NA,NA,NA,"2200 PARK BEND DR
Austin, TX 78758
(30.408511, -97.703442)","B & E Holdings Ltd","30.408511, -97.703442",30.408511,-97.703442
"1257",2017,"296196","5609 NUCKOLS CROSSING RD, AUSTIN TX, 78744","5609 NUCKOLS CROSSING RD, AUSTIN TX, 78744",88347,"EDUCATIONAL FACILITY","2000",10.437,45.03,"",NA,NA,NA,NA,"5609 NUCKOLS CROSSING RD
AUSTIN, TX 78744
(30.188923, -97.741595)","AISD","30.188923, -97.741595",30.188923,-97.741595
"1258",2017,"496367","4413 SPICEWOOD SPRINGS RD, AUSTIN TX, 78759","4413 SPICEWOOD SPRINGS RD, AUSTIN TX, 78759",10338,"OFFICE MED 10-35","1998",10.716,36.3,"",NA,NA,NA,NA,"4413 SPICEWOOD SPRINGS RD
AUSTIN, TX 78759
(30.37405, -97.759157)","MMS Properties","30.37405, -97.759157",30.37405,-97.759157
"1259",2017,"230115","300 W HUNTLAND DR, AUSTIN TX, 78752","300 W HUNTLAND DR, AUSTIN TX, 78752",17458,"RETAIL CENTER","1972",24.096,66.07,"",NA,NA,NA,NA,"300 W HUNTLAND DR
AUSTIN, TX 78752
(30.330378, -97.71506)","YELLOW BRICK ROAD PROJECT & K & M PARTNERSHIP","30.330378, -97.71506",30.330378,-97.71506
"1260",2017,"194306","300 W 6TH ST, AUSTIN TX, 78701","300 W 6TH ST, AUSTIN TX, 78701",483917,"OFFICE LG > 35000","2000",16.543,19.61,"",NA,NA,NA,NA,"300 W 6TH ST
AUSTIN, TX 78701
(30.268876, -97.745732)","Lionstone","30.268876, -97.745732",30.268876,-97.745732
"1261",2017,"R405458","9501 AMBERGLEN BLVD, AUSTIN TX, 78729","9501 AMBERGLEN BLVD, AUSTIN TX, 78729",151358,"OFFICE LG > 35000","2007",13.124,15.75,"",NA,NA,NA,NA,"9501 AMBERGLEN BLVD
AUSTIN, TX 78729
(30.471661, -97.774679)","Equitable Commercial Realty","30.471661, -97.774679",30.471661,-97.774679
"1262",2017,"131332","6204 BALCONES DR, AUSTIN TX, 78731","6204 Balcones",29106,"MEDICAL FACILITY","1999",NA,NA,"04/28/2017 12:00:00 AM",128.1,29107,NA,NA,"6204 BALCONES DR
AUSTIN, TX 78731
(30.34349, -97.75321)","Blue Ocean Energy","30.34349, -97.75321",30.34349,-97.75321
"1263",2017,"776945","5600 S CONGRESS AVE, AUSTIN TX, 78745","5600 S CONGRESS AVE, AUSTIN TX, 78745",26138,"INDUSTRIAL","1978",9.399,NA,"",NA,NA,NA,NA,"5600 S CONGRESS AVE
AUSTIN, TX 78745
(30.204825, -97.774827)","Twin Liquors, LP","30.204825, -97.774827",30.204825,-97.774827
"1264",2017,"136151","3616 FAR WEST BLVD, AUSTIN TX, 78731","3616 Far West Blvd.",20100,"RETAIL CENTER","1987",NA,NA,"05/12/2017 12:00:00 AM",NA,20100,NA,NA,"3616 FAR WEST BLVD
AUSTIN, TX 78731
(30.354695, -97.755713)","Blue Ocean Energy","30.354695, -97.755713",30.354695,-97.755713
"1265",2017,"235497","8601 CROSS PARK DR, AUSTIN TX, 78754","8601 CROSS PARK DR, AUSTIN TX, 78754",60888,"INDUSTRIAL","1987",21.804,84.17,"",NA,NA,NA,NA,"8601 CROSS PARK DR
AUSTIN, TX 78754
(30.34103, -97.676947)","HPI","30.34103, -97.676947",30.34103,-97.676947
"1266",2017,"232242","6901 N LAMAR BLVD, AUSTIN TX, 78752","6901 N LAMAR BLVD, AUSTIN TX, 78752",12992,"OFFICE MED 10-35","1966",11.723,25.27,"",NA,NA,NA,NA,"6901 N LAMAR BLVD
AUSTIN, TX 78752
(30.336701, -97.719499)","Capital Leasing","30.336701, -97.719499",30.336701,-97.719499
"1267",2017,"214117","7201B COLONY LOOP DR, AUSTIN TX, 78724","7201B COLONY LOOP DR, AUSTIN TX, 78724",17906,"OFFICE LG > 35000","2012",27.2,65.75,"",NA,NA,NA,NA,"7201B COLONY LOOP DR
AUSTIN, TX 78724
(30.302552, -97.637154)","Austin Energy","30.302552, -97.637154",30.302552,-97.637154
"1268",2017,"800318","9300 BRODIE LN AUSTIN TX 78749","9300 BRODIE LN AUSTIN TX 78749",79310,"WAREHOUSE","2011",3.033,NA,"",NA,NA,NA,NA,"9300 BRODIE LN
AUSTIN, TX 78749
(30.190999, -97.845137)","Extra Space Properties 107 LLC","30.190999, -97.845137",30.190999,-97.845137
"1269",2017,"190189","6000 BOLM RD, AUSTIN TX, 78721","6000 BOLM RD, AUSTIN TX, 78721",211527,"INDUSTRIAL","1960",5.86,38.33,"",NA,NA,NA,NA,"6000 BOLM RD
AUSTIN, TX 78721
(30.256052, -97.685482)","UniFirst Holdings Inc.","30.256052, -97.685482",30.256052,-97.685482
"1270",2017,"709641","3900 PAYLOAD PASS, AUSTIN TX, 78704","3900 PAYLOAD PASS, AUSTIN TX, 78704",48858,"RETAIL CENTER","2006",34.03,NA,"",NA,NA,NA,NA,"3900 PAYLOAD PASS
AUSTIN, TX 78704
(30.221386, -97.755525)","KMS Retail - Ben White, LP","30.221386, -97.755525",30.221386,-97.755525
"1271",2017,"194357","600 CONGRESS AVE, AUSTIN TX, 78701","One American Center (Blue Ocean Acct)",530102,"OFFICE LG > 35000","1982",NA,NA,"04/12/2017 12:00:00 AM",69.4,503951,NA,NA,"600 CONGRESS AVE
AUSTIN, TX 78701
(30.268422, -97.742673)","Blue Ocean Energy","30.268422, -97.742673",30.268422,-97.742673
"1272",2017,"194636","715 E 8TH ST, AUSTIN TX, 78701","715 E 8TH ST, AUSTIN TX, 78701",155733,"CITY OF AUSTIN","0",19.334,67.24,"",NA,NA,NA,NA,"715 E 8TH ST
AUSTIN, TX 78701
(30.267809, -97.734593)","Austin Energy","30.267809, -97.734593",30.267809,-97.734593
"1273",2017,"313599","3814 WOODBURY DR, AUSTIN TX, 78704","3814 Woodbury",21600,"INDUSTRIAL","1972",NA,NA,"06/21/2017 12:00:00 AM",10.7,21600,NA,NA,"3814 WOODBURY DR
AUSTIN, TX 78704
(30.223834, -97.760384)","Blue Ocean Energy","30.223834, -97.760384",30.223834,-97.760384
"1274",2017,"226520","5501 N LAMAR BLVD, AUSTIN TX, 78751","5501 N LAMAR BLVD, AUSTIN TX, 78751",42759,"RETAIL CENTER","1966",10.029,16.97,"",NA,NA,NA,NA,"5501 N LAMAR BLVD
AUSTIN, TX 78751
(30.322879, -97.728249)","3423 Holdings, LLC","30.322879, -97.728249",30.322879,-97.728249
"1275",2017,"293191","4905 WINNEBAGO LN AUSTIN TX 78744","4905 WINNEBAGO LN AUSTIN TX 78744",60000,"INDUSTRIAL","2016",2.699,NA,"",NA,NA,NA,NA,"4905 WINNEBAGO LN
AUSTIN, TX 78744
(30.207149, -97.732498)","ABC Supply Co., Inc","30.207149, -97.732498",30.207149,-97.732498
"1276",2017,"228969","6020 DILLARD CIR, AUSTIN TX, 78752","6020 Dillard Circle/109 Denson",25200,"WAREHOUSE","1977",NA,NA,"05/29/2017 12:00:00 AM",NA,25200,NA,NA,"6020 DILLARD CIR
AUSTIN, TX 78752
(30.326554, -97.717451)","Blue Ocean Energy","30.326554, -97.717451",30.326554,-97.717451
"1277",2017,"739449","800 BRAZOS ST ST Austin TX 78701","800 BRAZOS ST ST Austin TX 78701",76500,"OFFICE LG > 35000 (W/sqft > 5)","1949",38.201,69.61,"",NA,NA,NA,NA,"800 BRAZOS ST ST
Austin, TX 78701
(30.269911, -97.740638)","Peloton Commercial Real Estate","30.269911, -97.740638",30.269911,-97.740638
"1278",2017,"252818","9100 UNITED DR, AUSTIN TX, 78758","9100 UNITED DR, AUSTIN TX, 78758",24647,"INDUSTRIAL (W/sqft > 3)","1975",8.734,51.67,"",NA,NA,NA,NA,"9100 UNITED DR
AUSTIN, TX 78758
(30.377068, -97.731031)","Texas Auto Center","30.377068, -97.731031",30.377068,-97.731031
"1279",2017,"192874","305 E 5 ST, AUSTIN TX, 78701","305 E 5 ST, AUSTIN TX, 78701",11776,"RESTAURANT\BAR","1955",13.963,76.19,"",NA,NA,NA,NA,"305 E 5 ST
AUSTIN, TX 78701
(30.266323, -97.74029)","Finley Company","30.266323, -97.74029",30.266323,-97.74029
"1280",2017,"292479","4123 TODD LA, AUSTIN TX, 78744","4123 TODD LA, AUSTIN TX, 78744",10000,"WAREHOUSE","1981",8.525,76.51,"",NA,NA,NA,NA,"4123 TODD LA
AUSTIN, TX 78744
(30.209782, -97.738527)","Commercial Metals Company","30.209782, -97.738527",30.209782,-97.738527
"1281",NA,"462797","5300 RIATA PARK CT, AUSTIN TX, 78727","Parmer Business Park Bldg B",263766,"OFFICE LG > 35000","2000",NA,NA,"06/01/2017 12:00:00 AM",NA,54000,NA,NA,"5300 RIATA PARK CT
AUSTIN, TX 78727
(30.432211, -97.732243)","Blue Ocean Energy","30.432211, -97.732243",30.432211,-97.732243
"1282",2017,"460773","11211 TOM ADAMS DR, AUSTIN TX, 78753","11211 TOM ADAMS DR, AUSTIN TX, 78753",81342,"EDUCATIONAL FACILITY","1972",12.794,36.75,"",NA,NA,NA,NA,"11211 TOM ADAMS DR
AUSTIN, TX 78753
(30.373027, -97.66945)","AISD","30.373027, -97.66945",30.373027,-97.66945
"1283",2017,"715482","5720 W SLAUGHTER LA, AUSTIN TX, 78749","5720 W SLAUGHTER LA, AUSTIN TX, 78749",21294,"RETAIL CENTER","2008",12.689,36.25,"",NA,NA,NA,NA,"5720 W SLAUGHTER LA
AUSTIN, TX 78749
(30.201201, -97.869598)","Whitestone REIT","30.201201, -97.869598",30.201201,-97.869598
"1284",2017,"295726, 295727","5801 AINEZ DR, AUSTIN TX, 78744","5801 AINEZ DR, AUSTIN TX, 78744",10686,"CITY OF AUSTIN","",39.001,82.76,"",NA,NA,NA,NA,"5801 AINEZ DR
AUSTIN, TX 78744
(30.187556, -97.739623)","Austin Energy","30.187556, -97.739623",30.187556,-97.739623
"1285",2017,"464250","6315 E STASSNEY LA #7, AUSTIN TX, 78744","6315 E STASSNEY LA #7, AUSTIN TX, 78744",101331,"INDUSTRIAL (W/sqft > 3)","2000",94.709,NA,"",NA,NA,NA,NA,"6315 E STASSNEY LA
AUSTIN, TX 78744
(30.203348, -97.718239)","LIT Industrial Texas LP","30.203348, -97.718239",30.203348,-97.718239
"1286",2017,"255882","3101 LONGHORN BLVD, AUSTIN TX, 78758","3101 LONGHORN BLVD, AUSTIN TX, 78758",54000,"INDUSTRIAL","1973",3.073,19.79,"",NA,NA,NA,NA,"3101 LONGHORN BLVD
AUSTIN, TX 78758
(30.382507, -97.7299)","CBRE, Inc.","30.382507, -97.7299",30.382507,-97.7299
